workflow_transition_id:Normal,project_role_id:Normal,workflow_transition_role_type_id:Normal
1,1,1
1,2,1
2,1,1
2,2,1
3,1,1
3,2,1
6,2,2
8,1,1
8,2,1
12,1,1
12,2,1
16,2,2
17,1,1
17,2,1
18,1,1
18,2,1
19,1,1
19,2,1
22,2,2
24,1,1
24,2,1
28,1,1
28,2,1
32,2,2
33,1,1
33,2,1
34,1,1
34,2,1
35,1,1
35,2,1
38,2,2
40,1,1
40,2,1
41,1,1
41,2,1
42,1,1
42,2,1
43,1,1
43,2,1
44,1,1
44,2,1
45,1,1
45,2,1
48,2,2
49,1,1
49,2,1
49,3,1
49,4,1
49,5,1
49,6,1
52,1,1
52,2,1
52,3,1
52,4,1
52,5,1
52,6,1
65,1,1
65,2,1
65,3,1
65,4,1
65,5,1
65,6,1
66,1,1
66,2,1
66,3,1
66,4,1
66,5,1
66,6,1
68,1,1
68,2,1
68,3,1
68,4,1
68,5,1
68,6,1
69,1,1
69,2,1
69,3,1
69,4,1
69,5,1
69,6,1
70,1,1
70,2,1
70,3,1
70,4,1
70,5,1
70,6,1
71,1,1
71,2,1
71,3,1
71,4,1
71,5,1
71,6,1
72,1,1
72,2,1
72,3,1
72,4,1
72,5,1
72,6,1
73,1,1
73,2,1
73,3,1
73,4,1
73,5,1
73,6,1
74,1,1
74,2,1
74,3,1
74,4,1
74,5,1
74,6,1
75,1,1
75,2,1
75,3,1
75,4,1
75,5,1
75,6,1
76,1,1
76,2,1
76,3,1
76,4,1
76,5,1
76,6,1
77,1,1
77,2,1
77,3,1
77,4,1
77,5,1
77,6,1
78,1,1
78,2,1
78,3,1
78,4,1
78,5,1
78,6,1
79,1,1
79,2,1
79,3,1
79,4,1
79,5,1
79,6,1
80,1,1
80,2,1
80,3,1
80,4,1
80,5,1
80,6,1
81,1,1
81,2,1
81,3,1
81,4,1
81,5,1
81,6,1
82,1,1
82,2,1
82,3,1
82,4,1
82,5,1
82,6,1
83,1,1
83,2,1
83,3,1
83,4,1
83,5,1
83,6,1
