incident_id:Key,priority_id:Normal,severity_id:Normal,project_id:Normal,incident_status_id:Normal,incident_type_id:Normal,opener_id:Normal,owner_id:Normal,resolved_build_id:Normal,name:String,description:String,component_ids:String,detected_release_id:Normal,resolved_release_id:Normal,verified_release_id:Normal,creation_date:Normal,start_date:Normal,closed_date:Normal,completion_percent:Normal,estimated_effort:Normal,actual_effort:Normal,projected_effort:Normal,remaining_effort:Normal,last_update_date:Normal,concurrency_date:Normal,is_attachments:Normal
1,NULL,NULL,1,1,1,2,NULL,NULL,Cannot log into the application,"When trying to log into the application with a valid username and password, the system throws a fatal exception",NULL,1,2,2,"DATEADD(day, -21, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -4, SYSUTCDATETIME())","DATEADD(day, -4, SYSUTCDATETIME())",1
2,NULL,NULL,1,1,1,3,NULL,NULL,Not able to add new author,When I try and click on the button to add a new author the system simply displays the main screen and does nothing,2,1,2,2,"DATEADD(day, -21, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -16, SYSUTCDATETIME())","DATEADD(day, -16, SYSUTCDATETIME())",0
3,NULL,NULL,1,1,1,2,NULL,1,Clicking on link throws fatal error,"When I click on the logout link, instead of logging out, I get an ASP session not valid error",NULL,2,3,3,"DATEADD(day, -63, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -33, SYSUTCDATETIME())","DATEADD(day, -33, SYSUTCDATETIME())",0
4,NULL,NULL,1,2,2,3,NULL,1,Database not backing up correctly,"When I backup the database and try to restore from the backup, the system tells me that the datafiles have become corrupted",3,2,3,NULL,"DATEADD(day, -60, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -55, SYSUTCDATETIME())","DATEADD(day, -117, SYSUTCDATETIME())",0
5,1,1,1,2,2,2,NULL,2,Cannot install system on Oracle 9i,"When I try and install the system on Oracle 9i, I get a TNSlistener not found error",NULL,3,4,5,"DATEADD(day, -21, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -15, SYSUTCDATETIME())","DATEADD(day, -97, SYSUTCDATETIME())",0
6,3,2,1,2,2,3,NULL,2,The book listing screen doesn't sort,"When I click on the grid headings on the book listing screen, nothing happens",1,3,4,NULL,"DATEADD(day, -15, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,"DATEADD(day, -11, SYSUTCDATETIME())","DATEADD(day, -11, SYSUTCDATETIME())",1
7,1,3,1,3,2,3,3,NULL,Cannot add a new book to the system,"When I click on the button to add a book, enter the new information and click submit, I get a subscript out of range error",1,1,2,3,"DATEADD(day, -17, SYSUTCDATETIME())","DATEADD(day, -17, SYSUTCDATETIME())",NULL,25,20,NULL,20,15,"DATEADD(day, -17, SYSUTCDATETIME())","DATEADD(day, -124, SYSUTCDATETIME())",1
8,2,4,1,3,2,3,2,NULL,Editing the date on a book is clunky,"The data-validation on the date fields is too strict, and there is no help text indicating the format to use. Consider adding a calendar control",1,4,5,6,"DATEADD(day, -8, SYSUTCDATETIME())","DATEADD(day, -8, SYSUTCDATETIME())",NULL,50,25,NULL,25,13,"DATEADD(day, -8, SYSUTCDATETIME())","DATEADD(day, -65, SYSUTCDATETIME())",1
9,3,1,1,3,2,3,3,4,Editing the date on an author is clunky,"The data-validation on the date fields is too strict, and there is no help text indicating the format to use. Consider adding a calendar control",2,4,5,NULL,"DATEADD(day, -10, SYSUTCDATETIME())","DATEADD(day, -10, SYSUTCDATETIME())",NULL,75,30,NULL,30,8,"DATEADD(day, -10, SYSUTCDATETIME())","DATEADD(day, -54, SYSUTCDATETIME())",0
10,4,2,1,4,2,2,2,4,Doesn't let me add a new category,"Whan I try and add a new category, the system says that I have insuffient priviledges, even when I'm an administrator",3,5,NULL,NULL,"DATEADD(day, -10, SYSUTCDATETIME())","DATEADD(day, -12, SYSUTCDATETIME())",NULL,25,40,NULL,40,30,"DATEADD(day, -12, SYSUTCDATETIME())","DATEADD(day, -51, SYSUTCDATETIME())",0
