project_id:Normal,attachment_id:Normal,document_type_id:Normal,project_attachment_folder_id:Normal,is_key_document:Normal
1,1,2,2,0
1,2,2,2,1
1,3,3,3,0
1,4,4,5,0
1,5,3,3,0
1,6,3,3,0
1,7,5,7,0
1,8,6,7,0
1,9,3,3,0
1,10,4,5,0
1,11,6,7,0
1,12,5,7,0
1,13,6,7,0
1,14,3,3,0
1,15,2,6,0
1,16,2,4,0
1,17,2,4,0
1,19,2,14,0
1,20,2,14,0
1,21,2,14,0
1,22,2,14,0
1,23,2,14,0
1,24,2,14,0
1,26,2,15,0
1,27,2,15,0
1,28,2,15,0
1,29,2,15,0
1,30,2,15,0
1,31,2,15,0
1,33,2,16,0
1,34,2,16,0
1,35,2,16,0
1,36,2,16,0
1,37,2,16,0
1,38,2,16,0
1,40,2,17,0
1,41,2,17,0
1,42,2,17,0
1,43,2,17,0
1,44,2,17,0
1,45,2,17,0
1,46,1,12,0
1,47,1,12,0
1,48,1,12,0
1,49,1,21,0
1,50,1,21,0
1,51,1,21,0
1,52,1,21,0
1,53,1,21,0
1,54,1,21,0
1,55,1,21,0
1,56,1,21,0
1,57,1,21,0
