workflow_transition_id:Normal,project_role_id:Normal,workflow_transition_role_type_id:Normal
1,1,1
1,2,1
2,1,1
2,2,1
3,1,1
3,2,1
4,1,1
4,2,1
5,1,1
5,2,1
6,1,1
6,2,1
7,1,1
7,2,1
8,1,1
8,2,1
9,1,1
9,2,1
10,1,1
10,2,1
11,1,1
11,2,1
12,1,1
12,2,1
13,1,1
13,2,1
14,1,1
14,2,1
15,1,1
15,2,1
16,1,1
16,2,1
17,1,1
17,2,1
18,1,1
18,2,1
19,1,1
19,2,1
20,1,1
20,2,1
21,1,1
21,2,1
22,1,1
22,2,1
23,1,1
23,2,1
25,1,1
25,2,1
26,1,1
26,2,1
27,1,1
27,2,1
30,1,1
30,2,1
31,1,1
31,2,1
32,1,1
32,2,1
33,1,1
33,2,1
34,1,1
34,2,1
34,3,1
34,4,1
34,5,1
34,6,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
36,1,1
36,2,1
36,3,1
36,4,1
36,5,1
36,6,1
38,1,1
38,2,1
38,3,1
38,4,1
38,5,1
38,6,1
40,1,1
40,2,1
40,3,1
40,4,1
40,5,1
40,6,1
41,1,1
41,2,1
41,3,1
41,4,1
41,5,1
41,6,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,1
42,6,1
43,1,1
43,2,1
43,3,1
43,4,1
43,5,1
43,6,1
44,1,1
44,2,1
44,3,1
44,4,1
44,5,1
44,6,1
45,1,1
45,2,1
45,3,1
45,4,1
45,5,1
45,6,1
46,1,1
46,2,1
46,3,1
46,4,1
46,5,1
46,6,1
47,1,1
47,2,1
47,3,1
47,4,1
47,5,1
47,6,1
48,1,1
48,2,1
48,3,1
48,4,1
48,5,1
48,6,1
49,1,1
49,2,1
49,3,1
49,4,1
49,5,1
49,6,1
50,1,1
50,2,1
50,3,1
50,4,1
50,5,1
50,6,1
51,1,1
51,2,1
51,3,1
51,4,1
51,5,1
51,6,1
52,1,1
52,2,1
52,3,1
52,4,1
52,5,1
52,6,1
53,1,1
53,2,1
53,3,1
53,4,1
53,5,1
53,6,1
54,1,1
54,2,1
54,3,1
54,4,1
54,5,1
54,6,1
55,1,1
55,2,1
55,3,1
55,4,1
55,5,1
55,6,1
57,1,1
57,2,1
57,3,1
57,4,1
57,5,1
57,6,1
58,1,1
58,2,1
58,3,1
58,4,1
58,5,1
58,6,1
59,1,1
59,2,1
59,3,1
59,4,1
59,5,1
59,6,1
60,1,1
60,2,1
60,3,1
60,4,1
60,5,1
60,6,1
61,1,1
61,2,1
61,3,1
61,4,1
61,5,1
61,6,1
62,1,1
62,2,1
62,3,1
62,4,1
62,5,1
62,6,1
63,1,1
63,2,1
63,3,1
63,4,1
63,5,1
63,6,1
64,1,1
64,2,1
64,3,1
64,4,1
64,5,1
64,6,1
65,1,1
65,2,1
65,3,1
65,4,1
65,5,1
65,6,1
66,1,1
66,2,1
66,3,1
66,4,1
66,5,1
66,6,1
