project_role_id:Normal,artifact_type_id:Normal,permission_id:Normal
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,13,1
8,14,1
8,1,2
8,2,2
8,3,2
8,4,2
8,6,2
8,7,2
8,8,2
8,9,2
8,13,2
8,14,2
8,1,3
8,2,3
8,3,3
8,4,3
8,6,3
8,7,3
8,8,3
8,9,3
8,13,3
8,14,3
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,7,4
8,8,4
8,9,4
8,13,4
8,14,4
8,1,6
8,2,6
8,3,6
8,4,6
8,6,6
8,7,6
8,8,6
8,9,6
8,13,6
8,14,6
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,13,1
9,14,1
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
9,6,2
9,7,2
9,8,2
9,9,2
9,13,2
9,14,2
9,1,3
9,2,3
9,3,3
9,4,3
9,5,3
9,6,3
9,7,3
9,8,3
9,9,3
9,13,3
9,14,3
9,1,4
9,2,4
9,3,4
9,4,4
9,5,4
9,6,4
9,7,4
9,8,4
9,9,4
9,13,4
9,14,4
9,1,6
9,2,6
9,3,6
9,4,6
9,5,6
9,6,6
9,7,6
9,8,6
9,9,6
9,13,6
9,14,6
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,13,1
10,14,1
10,1,2
10,2,2
10,3,2
10,4,2
10,6,2
10,7,2
10,8,2
10,9,2
10,13,2
10,14,2
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,4
10,7,4
10,8,4
10,9,4
10,13,4
10,14,4
11,3,1
11,5,1
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
11,7,4
11,8,4
11,9,4
11,13,4
11,14,4
11,2,5
11,3,5
11,7,5
11,8,5
