workflow_transition_id:Key,requirement_workflow_id:Normal,input_requirement_status_id:Normal,output_requirement_status_id:Normal,name:String,is_execute_by_creator:Normal,is_execute_by_owner:Normal,is_signature_required:Normal
1,1,1,7,Review Requirement,0,0,0
2,1,1,5,Accept Requirement,0,0,0
3,1,7,6,Reject Requirement,1,1,0
4,1,7,5,Accept Requirement,0,1,0
5,1,6,7,Return to Review,0,1,0
6,1,5,2,Assign Release,0,1,0
7,1,2,3,Start Development,0,1,0
8,1,3,4,Finish Development,0,1,0
9,1,3,10,Mark as Completed,0,0,0
10,1,4,9,Mark as Tested,0,0,0
11,1,4,10,Mark as Completed,0,1,0
12,1,9,10,Mark as Completed,0,1,0
13,1,10,8,Mark as Obsolete,0,1,0
14,1,8,7,Return to Review,0,1,0
15,2,1,7,Review Requirement,0,0,0
16,2,1,5,Accept Requirement,0,0,0
17,2,7,6,Reject Requirement,1,1,0
18,2,7,5,Accept Requirement,0,1,0
19,2,6,7,Return to Review,0,1,0
20,2,5,2,Assign Release,0,1,0
21,2,2,3,Start Development,0,1,0
22,2,3,4,Finish Development,0,1,0
23,2,3,10,Mark as Completed,0,0,0
24,2,4,9,Mark as Tested,0,0,0
25,2,4,10,Mark as Completed,0,1,0
26,2,9,10,Mark as Completed,0,1,0
27,2,10,8,Mark as Obsolete,0,1,0
28,2,8,7,Return to Review,0,1,0
57,1,5,7,Return to Review,0,1,0
58,1,2,5,Remove from Plan,0,1,0
59,1,3,2,Cancel Development,0,1,0
60,1,4,3,Continue Development,0,1,0
61,1,10,3,Continue Development,0,1,0
62,1,10,9,Not Completed,0,1,0
63,1,10,4,Continue Testing,0,1,0
64,1,9,4,Continue Testing,0,1,0
65,1,8,10,Not Obsolete,0,1,0
66,2,5,7,Return to Review,0,1,0
67,2,2,5,Remove from Plan,0,1,0
68,2,3,2,Cancel Development,0,1,0
69,2,4,3,Continue Development,0,1,0
70,2,10,3,Continue Development,0,1,0
71,2,10,9,Not Completed,0,1,0
72,2,10,4,Continue Testing,0,1,0
