risk_probability_id:Key,project_template_id:Normal,name:String,color:String,is_active:Normal,position:Normal,score:Normal
1,1,Certain,A23520,1,1,5
2,1,Likely,D8472B,1,2,4
3,1,Possible,E27560,1,3,3
4,1,Unlikely,ECA395,1,4,2
5,1,Rare,ECC3BB,1,5,1
6,2,Certain,A23520,1,1,5
7,2,Likely,D8472B,1,2,4
8,2,Possible,E27560,1,3,3
9,2,Unlikely,ECA395,1,4,2
10,2,Rare,ECC3BB,1,5,1
11,3,Certain,A23520,1,1,5
12,3,Likely,D8472B,1,2,4
13,3,Possible,E27560,1,3,3
14,3,Unlikely,ECA395,1,4,2
15,3,Rare,ECC3BB,1,5,1
16,4,Certain,A23520,1,1,5
17,4,Likely,D8472B,1,2,4
18,4,Possible,E27560,1,3,3
19,4,Unlikely,ECA395,1,4,2
20,4,Rare,ECC3BB,1,5,1
